date,FX_USD_CAD,FX_USD_MXN,FX_USD_BRL,REER_USA,REER_CAN,REER_MEX,REER_BRA,FEDFUNDS,CPI_USA,UNRATE_USA,INDPRO_USA,GDP_USA,RATE_CAN,RATE_MEX_3M,RATE_BRA,CPI_CAN,CPI_MEX,CPI_BRA,GDP_CAN,GDP_MEX,GDP_BRA,INDPRO_CAN,INDPRO_MEX,INDPRO_BRA,WTI_oil,Soybean,Iron_ore,exports_total,exports_commodities,exports_manufactured_goods,exports_high-tech,imports_total,imports_commodities,imports_manufactured_goods,imports_high-tech,dummy_gfc,dummy_covid,log_exports_total,log_exports_commodities,log_exports_manufactured_goods,log_exports_high-tech,log_imports_total,log_imports_commodities,log_imports_manufactured_goods,log_imports_high-tech,diff_log_exports_total,diff_log_exports_commodities,diff_log_exports_manufactured_goods,diff_log_exports_high-tech,diff_log_imports_total,diff_log_imports_commodities,diff_log_imports_manufactured_goods,diff_log_imports_high-tech,FX_USD_CAD_lag1,FX_USD_CAD_lag3,FX_USD_CAD_lag6,FX_USD_CAD_lag12,FX_USD_MXN_lag1,FX_USD_MXN_lag3,FX_USD_MXN_lag6,FX_USD_MXN_lag12,FX_USD_BRL_lag1,FX_USD_BRL_lag3,FX_USD_BRL_lag6,FX_USD_BRL_lag12,REER_USA_lag1,REER_USA_lag3,REER_USA_lag6,REER_USA_lag12,REER_CAN_lag1,REER_CAN_lag3,REER_CAN_lag6,REER_CAN_lag12,REER_MEX_lag1,REER_MEX_lag3,REER_MEX_lag6,REER_MEX_lag12,REER_BRA_lag1,REER_BRA_lag3,REER_BRA_lag6,REER_BRA_lag12,FX_USD_CAD_ma3,FX_USD_CAD_ma6,FX_USD_CAD_ma12,FX_USD_MXN_ma3,FX_USD_MXN_ma6,FX_USD_MXN_ma12,FX_USD_BRL_ma3,FX_USD_BRL_ma6,FX_USD_BRL_ma12,FX_USD_CAD_pct,FX_USD_MXN_pct,FX_USD_BRL_pct,REER_USA_pct,month,quarter,year
2010-01-01,1.0438105263157895,12.809552631578947,1.7816526315789474,84.38,121.49,126.39,160.61,0.11,217.488,9.8,89.3426,16582.71,0.5,5.06,8.75,90.94022,82.77041,70.5368,411008000000.0,3393172675000.0,276993.7,86.09237,88.9004406954788,110.8045,78.32578947368421,358.9666102105263,125.9142857142857,17182234073.0,2712182180.9012647,8810703135.381514,5659348756.71722,21329771064.0,9031432664.560274,9475595656.53735,2822742742.9023747,0,0,23.567141784279816,21.72101938098562,22.899233084876784,22.45657466206755,23.783369636366913,22.923976847998965,22.971985452169758,21.760974853444107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0438105263157895,1.0438105263157895,1.0438105263157895,12.809552631578947,12.809552631578947,12.809552631578947,1.7816526315789474,1.7816526315789474,1.7816526315789474,,,,,1,1,2010
2010-02-01,1.0572105263157894,12.939599999999999,1.8420052631578947,85.16,120.9,126.29,157.74,0.13,217.281,9.8,89.6779,16582.71,0.5,5.03,8.75,91.33527,83.24914,71.0869,411008000000.0,3393172675000.0,276993.7,87.22543,88.3706287822,110.6553,76.38736842105263,344.6607406973684,127.615,18534740513.0,2925672688.0458765,9504241163.143412,6104826661.810711,21573907390.0,9134804650.252306,9584051443.676716,2855051296.0709767,0,0,23.642912673666917,21.796790270350062,22.97500397425985,22.532345551446003,23.794750430269687,22.935357641901017,22.983366246071867,21.772355647343403,0.07577088938710119,0.07577088936444198,0.07577088938306531,0.07577088937845389,0.01138079390277369,0.011380793902052488,0.011380793902109332,0.011380793899295583,1.0438105263157895,,,,12.809552631578947,,,,1.7816526315789474,,,,84.38,,,,121.49,,,,126.39,,,,160.61,,,,1.0505105263157895,1.0505105263157895,1.0505105263157895,12.874576315789472,12.874576315789472,12.874576315789472,1.811828947368421,1.811828947368421,1.811828947368421,0.01283757891127646,0.010152373947896587,0.033874522176335464,0.009243896657975759,2,1,2010
2010-03-01,1.0229,12.56727391304348,1.7855391304347825,84.68,124.22,130.33,162.82,0.16,217.353,9.9,90.2928,16582.71,0.5,5.03,8.75,91.33527,83.84016,71.45649,411008000000.0,3393172675000.0,276993.7,88.34338,89.5319336711901,113.058,81.20347826086957,348.9493274673913,139.7695652173913,21982003467.0,3469816430.7627645,11271928088.385565,7240258947.851669,24611894096.0,10421146275.239391,10933654941.511606,3257092879.249002,0,0,23.813489931358554,21.967367527996554,23.145581231943446,22.70292280912041,23.926495662914373,23.067102874537913,23.115111478709395,21.904100879950576,0.17057725769163667,0.17057725764649234,0.17057725768359688,0.170577257674406,0.13174523264468618,0.13174523263689508,0.13174523263752747,0.13174523260717308,1.0572105263157894,,,,12.939599999999999,,,,1.8420052631578947,,,,85.16,,,,120.9,,,,126.29,,,,157.74,,,,1.0413070175438597,1.0413070175438597,1.0413070175438597,12.772142181540808,12.772142181540808,12.772142181540808,1.8030656750572083,1.8030656750572083,1.8030656750572083,-0.03245382585751977,-0.02877415738944944,-0.030654707590958674,-0.005636449037106472,3,1,2010
2010-04-01,1.005209090909091,12.239586363636363,1.7567818181818182,84.22,126.67,133.16,166.02,0.2,217.403,9.9,90.5991,16743.162,0.5,5.03,9.5,91.65131,83.57301,71.86391,413310000000.0,3467964000000.0,280519.4,88.16998,90.4846447100627,113.5125,84.29285714285714,357.63868,172.4681818181818,20715983923.0,3269977711.692746,10622738796.79611,6823267414.511144,23934866437.0,10134479826.923716,10632890328.25218,3167496281.8241043,0,0,23.754171409489217,21.908049006142054,23.086262710076753,22.643604287256736,23.89860207957895,23.039209291204052,23.08721789537541,21.876207296622685,-0.059318521869336394,-0.05931852185450026,-0.059318521866693175,-0.05931852186367337,-0.027893583335423244,-0.02789358333386005,-0.027893583333984395,-0.02789358332789149,1.0229,1.0438105263157895,,,12.56727391304348,12.809552631578947,,,1.7855391304347825,1.7816526315789474,,,84.68,84.38,,,124.22,121.49,,,130.33,126.39,,,162.82,160.61,,,1.0284398724082935,1.0322825358851675,1.0322825358851675,12.582153425559946,12.639003227064697,12.639003227064697,1.7947754039248318,1.7914947108383608,1.7914947108383608,-0.017294856868617647,-0.026074672333433524,-0.016105674618266064,-0.005432215399149842,4,2,2010
2010-05-01,1.0402799999999999,12.726220000000001,1.814155,86.74,124.09,128.6,165.54,0.2,217.29,9.6,91.823,16743.162,0.5,5.04,9.5,91.88834,83.04642,72.17294,413310000000.0,3467964000000.0,280519.4,90.35541,90.0067065925664,113.2886,73.7435,349.0513711125,161.347619047619,21311035418.0,3363905431.138363,10927869203.61256,7019260783.249077,23865629741.0,10105163686.775543,10602132429.636105,3158333624.5883503,0,0,23.782490870285756,21.936368466931402,23.114582170872012,22.67192374805053,23.895705174736825,23.036312386362095,23.08432099053344,21.873310391781356,0.028319460796538465,0.028319460789347772,0.028319460795259488,0.02831946079379577,-0.0028969048421245702,-0.0028969048419575927,-0.0028969048419718035,-0.0028969048413287624,1.005209090909091,1.0572105263157894,,,12.239586363636363,12.939599999999999,,,1.7567818181818182,1.8420052631578947,,,84.22,85.16,,,126.67,120.9,,,133.16,126.29,,,166.02,157.74,,,1.0227963636363635,1.033882028708134,1.033882028708134,12.511026758893282,12.656446581651759,12.656446581651759,1.7854919828722002,1.7960267686706886,1.7960267686706886,0.03488916824179489,0.03975899363800561,0.032658114527596815,0.029921633816195614,5,2,2010
2010-06-01,1.0376227272727272,12.71020909090909,1.8042,87.37,124.75,129.24,167.52,0.18,217.199,9.4,91.9928,16743.162,0.75,5.01,10.25,91.80933,83.02041,72.17294,413310000000.0,3467964000000.0,280519.4,90.93634,89.8106063024854,112.7543,75.3359090909091,348.5139945,143.6318181818182,22198517811.0,3503992798.2369504,11382952277.756464,7311572735.006584,24922395322.0,10552618427.77531,11071592852.78159,3298184041.4430995,0,0,23.823291358370522,21.97716895500616,23.155382658954995,22.71272423613148,23.939032646752,23.07963985837485,23.12764846254639,21.916637863784885,0.04080048808476633,0.040800488074758334,0.040800488082982866,0.04080048808094716,0.04332747201517506,0.04332747201275566,0.04332747201295106,0.043327472003529266,1.0402799999999999,1.0229,,,12.726220000000001,12.56727391304348,,,1.814155,1.7855391304347825,,,86.74,84.68,,,124.09,124.22,,,128.6,130.33,,,165.54,162.82,,,1.0277039393939393,1.0345054784688994,1.0345054784688994,12.55867181818182,12.665406999861313,12.665406999861313,1.791712272727273,1.7973889738922404,1.7973889738922404,-0.002554382211782058,-0.0012581040631790552,-0.005487403226295373,0.007263085081854026,6,2,2010
2010-07-01,1.0422285714285715,12.803761904761906,1.7689000000000001,85.85,123.66,127.31,168.02,0.18,217.605,9.4,92.3421,16872.266,1.0,5.01,10.75,92.28338,83.20067,72.18014000000001,416343000000.0,3516953887500.0,282976.4,90.96571,89.7199622399515,112.0623,76.31952380952382,370.97576825,126.3636363636364,19712479537.0,3111576498.9865184,10108161984.343481,6492741053.67,21292665953.0,9015721651.511797,9459111980.853632,2817832320.6345706,0,0,23.70451775121347,21.858395347879416,23.03660905180334,22.59395062898599,23.781628528961114,22.922235740593276,22.97024434476406,21.75923374603884,-0.11877360715705265,-0.11877360712674445,-0.11877360715165608,-0.11877360714548857,-0.15740411779088603,-0.15740411778157437,-0.1574041177823311,-0.15740411774604368,1.0376227272727272,1.005209090909091,1.0438105263157895,,12.71020909090909,12.239586363636363,12.809552631578947,,1.8042,1.7567818181818182,1.7816526315789474,,87.37,84.22,84.38,,124.75,126.67,121.49,,129.24,133.16,126.39,,167.52,166.02,160.61,,1.0400437662337663,1.0342418193210297,1.0356087774631384,12.746730331890333,12.66444187872514,12.685171986275682,1.7957516666666666,1.7952635352957493,1.7933191204790633,0.004438842784361796,0.007360446487047145,-0.019565458374902978,-0.01739727595284435,7,3,2010
2010-08-01,1.0403954545454546,12.766013636363637,1.7588954545454547,84.97,123.14,127.36,167.2,0.19,217.923,9.5,92.6805,16872.266,1.0,4.99,10.75,92.20437,83.43176,72.20891,416343000000.0,3516953887500.0,282976.4,90.98967,90.4145039936269,111.7531,76.59909090909092,379.4622109090909,145.3409090909091,21045655836.0,3322015781.025491,10791787905.612562,6931852149.361946,23541620595.0,9967972022.78532,10458193723.153795,3115454849.0608845,0,0,23.76996000223766,21.92383759888646,23.102051302824478,22.65939288000364,23.882035780758923,23.022642992384974,23.070651596556253,21.859640997807233,0.06544225102419077,0.06544225100704537,0.06544225102113899,0.06544225101765022,0.10040725179780807,0.1004072517916974,0.10040725179219478,0.1004072517683916,1.0422285714285715,1.0402799999999999,1.0572105263157894,,12.803761904761906,12.726220000000001,12.939599999999999,,1.7689000000000001,1.814155,1.8420052631578947,,85.85,86.74,85.16,,123.66,124.09,120.9,,127.31,128.6,126.29,,168.02,165.54,157.74,,1.0400822510822512,1.0314393073593073,1.036207112098428,12.759994877344878,12.63551081811908,12.695277192536677,1.7773318181818183,1.781411900527009,1.7890161622373622,-0.0017588434373894124,-0.002948216991150887,-0.00565580047178782,-0.010250436808386665,8,3,2010
2010-09-01,1.032957142857143,12.797709523809523,1.717990476190476,83.95,123.31,126.65,169.92,0.19,218.275,9.5,92.9537,16872.266,1.25,4.98,10.75,92.36239,83.86910999999999,72.53372,416343000000.0,3516953887500.0,282976.4,90.5539,90.0056063499589,112.0336,75.24190476190476,390.23121675,140.6272727272727,21882785427.0,3454155056.405468,11221051078.306412,7207579292.28812,23227596053.0,9835008030.927053,10318690604.377079,3073897417.6958656,0,0,23.808966111150827,21.962843707789933,23.14105741173592,22.698398988913105,23.868606893827987,23.009214105454824,23.05722270962604,21.846212110880064,0.039006108913167026,0.03900610890347167,0.03900610891144041,0.0390061089094651,-0.013428886930935136,-0.013428886930149986,-0.013428886930213935,-0.013428886927169259,1.0403954545454546,1.0376227272727272,1.0229,,12.766013636363637,12.71020909090909,12.56727391304348,,1.7588954545454547,1.8042,1.7855391304347825,,84.97,87.37,84.68,,123.14,124.75,124.22,,127.36,129.24,130.33,,167.2,167.52,162.82,,1.0385270562770563,1.0331154978354977,1.0358460044049518,12.789161688311689,12.673916753246752,12.706658562678106,1.7485953102453102,1.7701537914862915,1.7811244193432638,-0.00714950421574212,0.0024828335883648744,-0.023256060074104634,-0.012004236789455058,9,3,2010
2010-10-01,1.0179,12.439295,1.68373,81.26,123.83,129.17,170.16,0.19,219.035,9.4,92.6903,16960.864,1.25,4.95,10.75,92.75744,84.38685,73.0778,425387000000.0,3591119385000.0,287037.1,91.3165,89.872313637397,111.7241,81.89285714285714,427.17613225,148.4809523809524,22191876269.0,3502944443.768633,11379546628.952324,7309385196.279041,23503785619.0,9951951970.948666,10441385810.25238,3110447837.798952,0,0,23.822992125070755,21.976869721706464,23.155083425655242,22.712425002831736,23.880427335335657,23.0210345469618,23.069043151133073,21.858032552384415,0.014026013919927749,0.014026013916531355,0.014026013919323788,0.014026013918631008,0.011820441507669699,0.01182044150697692,0.011820441507033763,0.011820441504351464,1.032957142857143,1.0422285714285715,1.005209090909091,,12.797709523809523,12.803761904761906,12.239586363636363,,1.717990476190476,1.7689000000000001,1.7567818181818182,,83.95,85.85,84.22,,123.31,123.66,126.67,,126.65,127.31,133.16,,169.92,168.02,166.02,,1.0304175324675324,1.0352306493506493,1.0340514039644566,12.667672720057718,12.707201525974027,12.679922206410295,1.7202053102453103,1.7579784884559884,1.7713849774089376,-0.01457673530916792,-0.028006146189106018,-0.019942180509898044,-0.032042882668254835,10,4,2010
